Date,iv_call,skewness_call,iv_put,skewness_put,RSI,K,D,KDminus,macd,macd_signal,macd_hist,ma5,ma20,returns,returns_
2018-12-25,0.06287061599999999,-0.028702138999999998,0.091020827,-0.012799283,35.66532251564956,27.029373100080026,27.920672840017,-0.8912997399369758,-65.3062532787826,-46.44784950082338,-18.858403777959225,9660.2378906,9792.647021450004,-0.01175070489413008,0.0
2018-12-26,0.016479977,-0.047343184,0.091065149,-0.017855748,33.66216694388945,15.130945968745548,22.365708739728163,-7.2347627709826146,-78.63361715479732,-52.88500303161817,-25.748614123179152,9599.3939452,9772.381054650004,-0.005061507948052995,1.0
2018-12-27,0.009741674,-0.069195055,0.0067689609999999996,-0.014191888,45.04306786569426,32.59641621406125,24.91891176096232,7.67750445309893,-75.21068037213263,-57.35013849972106,-17.860541872411567,9592.801952999998,9760.191015550005,0.017005081464713447,1.0
2018-12-28,0.029132607999999997,-0.019908916000000002,0.06838308900000001,-0.005108908,49.986160512202794,60.66587621134699,36.13107946471798,24.534796746629013,-64.82331072905254,-58.84477294558736,-5.978537783465178,9602.9499998,9752.160009700005,0.00886481309301773,0.0
2019-01-02,0.041332581,-0.00478156,0.030447677000000003,-0.010037344,41.72338823206772,70.15115556777714,54.47114933106184,15.6800062367153,-69.76847975821693,-61.02951430811327,-8.738965450103656,9585.837890399998,9722.973486250004,-0.01797315818465746,0.0
2019-01-03,0.003474042,-0.000659118,0.002617654,-2.346964362,39.20509435553051,45.93640520422381,58.917812327782684,-12.981407123558874,-77.77132845333836,-64.3778771371583,-13.393451316180062,9578.903905999998,9693.417480400005,-0.006480954400851636,1.0
2019-01-04,0.069286818,-0.004794435,0.075152663,-0.021208362999999997,35.090569816176306,17.64048275414095,44.576014508714,-26.935531754573052,-91.92284539164211,-69.88687078805506,-22.03597460358705,9559.6078124,9666.705957000006,-0.011646284264675889,0.0
2019-01-07,0.05185189,-0.036284401,0.019220058,-0.004771508,46.64017221957024,29.039869316805593,30.872252425056825,-1.832383108251232,-85.38681885166079,-72.98686040077621,-12.399958450884583,9549.3558594,9661.984960900005,0.021904857758574595,1.0
2019-01-08,0.096573286,-0.006262865,0.047086678,-0.012765743999999999,45.50516603939346,46.09378345649296,30.924711842479876,15.169071614013081,-81.42286134197093,-74.67406058901516,-6.748800752955773,9516.59375,9652.120947200006,-0.0027879663265842603,0.0
2019-01-09,0.026354564,-0.06573959,0.061195047999999995,-0.014296033999999999,53.57052390796282,74.12689038365762,49.7535143856521,24.37337599800552,-63.45232382478389,-72.42971323616891,8.977389411385019,9553.4277344,9656.659423750007,0.018103362818022058,1.0
2019-01-10,0.089323288,-0.007614346,0.09380014099999999,-0.011579658999999999,52.71223142215988,84.21510404472203,68.14525929495758,16.069844749764442,-50.05525490020955,-67.95482156897704,17.89956666876749,9599.081836000001,9657.341943300005,-0.0018108993077704093,0.0
2019-01-11,0.015691172,-0.019051715,0.013039449,-0.0038540109999999996,54.46095018412669,94.36429126100961,84.2354285631298,10.12886269787981,-35.90057147611151,-61.54397155040393,25.643400074292423,9674.459961,9654.489453100005,0.003974315346705716,1.0
2019-01-14,0.071212329,-0.032453648,0.030455722999999997,-0.002229079,51.703167490738046,82.76151846724342,87.11363792432508,-4.352119457081656,-28.484384480294466,-54.932054136382035,26.44766965608757,9698.0439454,9646.962451150004,-0.005258041980039513,0.0
2019-01-15,0.026733487,-0.044545870999999994,0.006377923000000001,0.002991932,56.31543541731936,84.41486703247098,87.18022558690807,-2.7653585544370856,-14.546043461004956,-46.85485200130662,32.30880854030166,9746.532031400002,9648.556445300002,0.010025605123713156,1.0
2019-01-16,0.082254644,-0.056965521,-0.010919943,0.007384583,53.891604001078996,77.18392988367371,81.45343846112944,-4.269508577455724,-6.828736275396295,-38.84962885612455,32.02089258072826,9751.6320314,9647.370410150002,-0.004315877269908957,0.0
